_id,rating,image,title,writer,released,description,__v
5f8c9e55ea55d3284e4b2b3c,56,https://mycima.io/wp-content/uploads/2020/03/MV5BMzY3NGI0MWUtYTBmZC00MDEyLTgyMjItZTY5YzIzZjcxNGQ4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY1200--347x520.jpg,Amazing Stories,"Atlanta, Georgia, USA",2017,Unglaubliche Geschichten (Germany) | Cuentos asombrosos (Spain) | Untitled Amazing Stories Revival | Úžasné príbehy (Slovakia) | Удивительные истории (Russia),0
5f8c9e8aea55d3284e4b2b3d,72,https://mycima.io/wp-content/uploads/2020/03/MV5BYTljYTYwYTktNjhjMC00MmQxLWJjODktYjIzYTViYWZhZTE4XkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_UY1200--370x493.jpg,Bloodride,Shedding blood,2011,Blodtur (Norway) | Blutiger Trip (Germany) | Viaje sangriento (Spain) | Кровавая поездка (Russia) | Coletivo Terror (Brazil),0
5f8c9eb2ea55d3284e4b2b3e,54,https://mycima.io/wp-content/uploads/2020/03/MV5BNjFiMTYwNGYtZWUxZS00MjAzLTg2NzctNTc1NTI2MTRhYzc0XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UY1200--370x463.jpg,Devs,Тайна разработка,2019,Blodtur (Norway) | Blutiger Trip (Germany) | Viaje sangriento (Spain) | Кровавая поездка (Russia) | Coletivo Terror (Brazil),0
5f8c9ed4ea55d3284e4b2b3f,35,https://mycima.io/wp-content/uploads/2020/01/ENTdQ2JWkAAmQ7B-e1579499479608-370x458.jpg,9-1-1: Lone Star,Brad Falchuk,2001,Blodtur (Norway) | Blutiger Trip (Germany) | Viaje sangriento (Spain) | Кровавая поездка (Russia) | Coletivo Terror (Brazil),0
5f8c9f00ea55d3284e4b2b40,85,https://mycima.io/wp-content/uploads/2020/01/The-Outsider-S01-349x520.jpg,The Outsider,From outside,2006,Blodtur (Norway) | Blutiger Trip (Germany) | Viaje sangriento (Spain) | Кровавая поездка (Russia) | Coletivo Terror (Brazil),0
5f8c9f2aea55d3284e4b2b41,74,https://mycima.io/wp-content/uploads/2020/01/MV5BZmQwZWRkNzUtZTE3NC00ZTQ3LTk0OTUtYzg1NTg4YzlkOWE3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@--352x520.jpg,"Avenue 5
",Авеню 5 (Ukraine),2016,Blodtur (Norway) | Blutiger Trip (Germany) | Viaje sangriento (Spain) | Кровавая поездка (Russia) | Coletivo Terror (Brazil),0
5f8c9f78ea55d3284e4b2b42,96,https://mycima.io/wp-content/uploads/2020/01/MV5BYTJmMTk4NTgtMTJkMS00NGQ4LWEwMzEtYjZkMjUyN2YzN2E0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@--351x520.jpg,Lincoln Rhyme,Авеню 5 (Ukraine),1995,The Bone Collector (United States) | Lincoln Rhyme: Cazando al coleccionista de huesos (Spain) | Lincoln Rhyme: Caça ao Coleccionador de Ossos (Portugal) | Лінкольн Райм: Полювання на колекціонера кісток (Ukraine) | Lincoln,0
5f8c9f9eea55d3284e4b2b43,51,https://mycima.io/wp-content/uploads/2020/01/MV5BODZhZjcyOTQtN2Y5OC00M2Q1LTg3MzEtYmE0NTVkNWRmNzc1XkEyXkFqcGdeQXVyMDA4NzMyOA@@--347x520.jpg,"The Dead Lands
",Dead lands,2008,The Bone Collector (United States) | Lincoln Rhyme: Cazando al coleccionista de huesos (Spain) | Lincoln Rhyme: Caça ao Coleccionador de Ossos (Portugal) | Лінкольн Райм: Полювання на колекціонера кісток (Ukraine) | Lincoln,0
5f8c9fc4ea55d3284e4b2b44,47,https://mycima.io/wp-content/uploads/2020/03/5e68a96054b41-370x520.jpg,"Dirty Money
",United States,2013,"Netflix Original series documents multiple stories about exposing greed, corruption and the spread of crime across the global economy.",0
5f8c9feaea55d3284e4b2b45,38,https://mycima.io/wp-content/uploads/2020/01/MV5BMmQ3YjBiNTYtMWM5ZC00NWQxLWI1ZGMtMDM4YjIzMTMxNTI2XkEyXkFqcGdeQXVyMzQ2MDI5NjU@--351x520.jpg,Deputy,Cedar Park,2020,"The Los Angeles County Sheriff's Department is one of the largest police forces in the world, but when the sheriff-elect dies, a mysterious rule in the county charter, formed in the Wild West, suddenly pushes the most likely man into action.",0
